year,county,countyansi,wheatprod,pop,wheatprice,wheatprice_l1,wheatprice_l2,precipitation,maximum_temperature,palmer_modified_drought_index_pm,average_temperature,palmer_zindex,minimum_temperature,palmer_hydrological_drought_inde,palmer_drought_severity_index_pd,heating_degree_days,cooling_degree_days,precipitation_l1,precipitation_l2,allindustrytotal,privateindustries,agricultureforestryfishingandhun,miningquarryingandoilandgasextra,utilities,construction,manufacturing,durablegoodsmanufacturing,nondurablegoodsmanufacturing,wholesaletrade,retailtrade,transportationandwarehousing,information,financeinsurancerealestaterental,financeandinsurance,realestateandrentalandleasing,professionalandbusinessservices,professionalscientificandtechnic,managementofcompaniesandenterpri,administrativeandsupportandwaste,educationalserviceshealthcareand,educationalservices,healthcareandsocialassistance,artsentertainmentrecreationaccom,artsentertainmentandrecreation,accommodationandfoodservices,otherservicesexceptgovernmentand,governmentandgovernmententerpris,countycode,logwheatprod,county1,county2,county3,county4,county5,county6,county7,county8,county9,county10,county11,county12,county13,county14,county15,county16,county17,county18,county19,county20,county21,county22,county23,county24,county25,county26,county27,year1,year2,year3,year4,year5
2002,beaver,1,,6058,4.6500001,3.3,3.25,7.8000002,64.400002,-3.04,49.700001,-.72000003,35,-3.4300001,-3.4300001,6238,699,7.46,9.75,163172,134415,51465,3010,6392,4909,6030,1842,4188,1341,8932,11316,0,25097,3424,22668,419,479,0,310,1838,9,1829,8667,2046,18288,5000,28757,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2007,beaver,1,,6266,8.3000002,4.8499999,3.8,9.8400002,64.599998,-1.04,50,3.27,35.400002,-2.3699999,-2.3699999,6206,744,21.93,11.28,210854,173929,36331,14888,6529,7433,8433,3506,4927,1581,11596,23754,72,37112,4428,32685,2239,682,8726,432,2492,54,2438,9340,2712,23600,5393,36925,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2017,beaver,1,,6402,5.1999998,4.3000002,5.1799998,11.37,65.400002,-2.1900001,51.299999,-2.03,37.200001,-2.1900001,-2.1900001,5701,734,22.92,13.17,384785,334616,70557,44341,78132,11154,19217,2685,16532,3578,17797,25814,1020,33543,5651,44815,4780,1503,12249,841,4831,669,4566,14756,4766,39303,7650,50169,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022,beaver,1,,7327,9.1499996,7.0999999,5.4299998,10.76,64.5,.34999999,50,.80000001,35.5,-1.35,1.17,6260,839,11.84,9.4899998,479215,423535,63101,36635,65286,15255,19925,5074,15765,3209,21114,39372,842,54026,6679,56246,6985,1974,12852,1174,6606,348,6331,21385,6318,50721,9547,57886,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2002,carbon,7,,20114,4.6500001,3.3,3.25,9.8400002,58,-.95999998,44.799999,-.37,31.6,-2.9400001,-2.9400001,7763,422,7.0700002,8.3000002,674339,571353,1364,151570,41143,22331,20880,16534,5401,32930,43410,55336,8664,93059,19215,73844,26764,8315,3521,14927,33121,36,1713,16709,1635,15074,24071,102986,4,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2007,carbon,7,,20554,8.3000002,4.8499999,3.8,11.9,59.200001,-1.36,46.099998,2.04,32.900002,-2.24,.68000001,7328,444,10.47,9.8400002,1108057,983501,2182,402957,48554,27907,47814,22400,25414,46184,53938,99312,11559,122758,19203,103555,33027,8953,5888,11450,45138,63,2375,18221,1729,16492,23949,124557,4,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2017,carbon,7,,20171,5.1999998,4.3000002,5.1799998,13.67,59.400002,-2.73,46.799999,-2.21,34.200001,-2.73,-2.73,6998,369,14.02,10.38,1028820,894028,2861,352485,29313,30727,33955,27861,6094,39018,53747,34311,4550,153715,12175,141540,38586,15247,2681,20658,73439,197,4566,17711,1751,15960,29609,134792,4,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022,carbon,7,,20571,9.1499996,7.0999999,5.4299998,11.84,58.700001,-1.7,45.599998,1.16,32.5,-2.24,.38999999,7458,417,9.4899998,22.190001,1737126,1577953,2370,635309,135560,54854,61544,41821,16833,76054,82486,100771,11700,207103,22139,190496,92102,25896,6801,35580,105956,348,6331,31077,3436,27799,40726,176910,4,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2002,duchesne,13,,14969,4.6500001,3.3,3.25,12.46,54.400002,-2.1300001,41.5,-.94,28.5,-3.4300001,-3.4300001,8735,188,16.15,9.29,375814,304472,6282,66757,1812,33547,6271,5129,1141,7721,23329,19396,18165,72057,10218,61839,7682,3280,12485,2821,18071,157,17915,8779,256,6682,14603,71343,7,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2012,duchesne,13,,18999,9.5900002,8.2600002,7.4299998,12.35,56.799999,-3.53,44,.13,31.200001,-3.6400001,-3.6400001,7765,150,8.9300003,8,1271763,1155396,15810,589854,2467,75454,34566,32779,1787,35011,42070,91819,32515,139811,11211,128600,36595,10941,13744,5495,22421,328,29985,12200,1136,11065,24803,116367,7,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2022,duchesne,13,,20161,9.1499996,7.0999999,5.4299998,14.97,55.400002,-.94,42.599998,.86000001,29.9,-1.41,.28999999,8291,174,9.8699999,14.91,1463595,1312085,31363,546905,10156,83396,26157,22277,3610,35314,61175,80528,57662,197063,17148,186492,55400,17903,15131,10702,48165,1021,57643,19709,791,18533,32943,158368,7,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2002,emery,15,,10548,4.6500001,3.3,3.25,6.6199999,64.699997,-.56999999,50.900002,-.89999998,37.099998,-2.4000001,-2.4000001,6100,991,7.8000002,7.46,545844,506139,1265,76914,300858,14648,1772,1095,408,1699,12505,7823,15991,37508,2485,31693,14906,2677,11103,1126,1755,3,2356,5657,477,5180,12305,39704,8,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2007,emery,15,,10566,8.3000002,4.8499999,3.8,8.1999998,65.5,.2,52,2.3900001,38.400002,-.97000003,.80000001,5775,1036,12.46,11.82,736663,690644,5735,143605,374812,26842,2046,1380,543,2151,15955,6244,27146,47566,2937,39777,14687,3947,10613,2347,2399,6,3267,7219,125,6347,13049,46019,8,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2017,emery,15,,10027,5.1999998,4.3000002,5.1799998,7.7399998,66.099998,-2.6800001,52.599998,-1.6,39.200001,-2.6800001,-2.6800001,5426,944,7.7199998,18.129999,928503,869871,5671,75392,610989,20182,2760,1998,762,3450,19191,2752,33607,65342,3856,61486,17765,4925,11683,4571,2546,18,6280,10404,157,10247,11838,58632,8,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022,garfield,17,,5281,9.1499996,7.0999999,5.4299998,10.03,62.799999,-2.7,49.5,.050000001,36.200001,-2.99,.02,6236,626,10.76,11.84,334041,279304,11043,5592,8167,9130,5204,5206,1448,2378,9787,2706,67553,55287,3475,52685,9094,2485,13693,843,20994,1694,20999,74190,5476,69034,5818,52983,9,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2002,iron,21,,35728,4.6500001,3.3,3.25,7.0500002,64,-4.3899999,49.400002,-1.01,34.799999,-4.5799999,-4.5799999,6313,654,9.8400002,7.0700002,831750,653022,60405,122,5518,46237,101362,26371,74991,24233,68608,22709,8619,158509,39572,118937,50826,13140,12716,24817,33169,1350,31819,38267,8278,29989,33873,178728,11,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2007,iron,21,,43645,8.3000002,4.8499999,3.8,11.84,64.599998,-1.78,50.099998,1.65,35.599998,-2.5,-2.5,6055,644,10.72,10.13,1202539,965135,51195,6353,7598,96168,146850,71075,75776,32161,111452,23346,20163,261941,63335,198605,59565,25426,11592,22547,59880,2526,57354,49160,9508,39651,39302,237404,11,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2017,morgan,29,,11836,5.1999998,4.3000002,5.1799998,29.1,57.099998,-2.4000001,46,-1.72,34.900002,-2.4000001,-2.4000001,7236,333,10.1,15.74,291875,258521,5828,5751,2921,46068,30631,28711,1921,26677,13985,1825,706,67336,16981,50355,33210,15303,12249,4697,7364,346,7018,4932,1130,3802,11288,33355,15,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2017,piute,31,,1406,5.1999998,4.3000002,5.1799998,15.74,59.900002,-2.51,46.400002,-2.9300001,33,-2.51,-2.51,6947,183,17.780001,9.3199997,80346,72141,55021,0,0,1330,98,42,0,103,1120,3433,134,8833,5651,9111,418,11,0,98,395,158,407,622,228,394,7945,8205,16,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2022,piute,31,,1487,9.1499996,7.0999999,5.4299998,12.65,58.299999,-1.61,44.400002,1.64,30.6,-2.3499999,.55000001,7631,173,7.54,9.6499996,65079,53449,16500,2110,65286,1744,123,53,42,70,1362,4152,123,13832,6679,11435,611,15,10504,137,540,127,564,1835,250,1186,9547,10200,16,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2002,sanpete,39,,23566,4.6500001,3.3,3.25,14.75,56.900002,.19,43.900002,-.07,30.9,-1.75,-.02,7958,281,13.3,7.9899998,403027,298336,49517,1050,991,26390,38420,24651,15764,3893,27149,8032,19941,76106,15253,60852,9749,4038,7894,2626,16749,3218,14389,6832,875,5957,16682,104691,20,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2007,sevier,41,,20236,8.3000002,4.8499999,3.8,14.97,58.5,.66000003,45.900002,1.99,33.200001,.66000003,.66000003,7242,286,20.219999,11.9,731017,634849,8719,146466,5634,34535,79043,23953,55090,17612,62590,62792,12712,107816,17562,90254,28759,14068,8723,5967,29896,482,30961,19433,175,19259,16583,96168,21,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2017,sevier,41,,21299,5.1999998,4.3000002,5.1799998,15.11,59.5,-2.2,47.099998,-2.47,34.599998,-2.2,-2.2,6807,280,29.1,10.1,1121101,1009036,101992,354036,6486,29812,68458,25736,42722,28241,71706,84677,4700,109582,17624,91957,40905,18678,12813,9414,55910,1502,59520,27378,841,26538,20884,112065,21,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2002,summit,43,,31536,4.6500001,3.3,3.25,19.42,50.900002,-2.1400001,38.5,-1.3,26.200001,-2.6600001,-2.6600001,9680,55,18.74,13.78,1195465,1083861,17779,40083,3840,112974,44832,40783,4050,27892,94044,18616,31583,235926,47102,188824,126574,84808,17446,24319,35191,10614,24577,241560,106273,135287,52967,111604,22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2012,summit,43,,37886,9.5900002,8.2600002,7.4299998,19.959999,53.200001,-3.1199999,41,.23999999,28.799999,-3.27,-3.27,8764,42,10.57,9.9899998,2318939,2134287,20021,36941,7745,72278,103095,78341,24753,66838,175325,40752,57520,683656,102680,580976,246362,167297,26652,52413,93420,20753,72668,491243,218402,272840,71317,184652,22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2017,summit,43,,41375,5.1999998,4.3000002,5.1799998,28.74,52.400002,-2,40.799999,-1.6799999,29.1,-2,-2,8864,47,19.129999,26.91,3312980,3087926,20632,38559,9498,224022,108390,87727,20663,70852,229140,38883,69310,919501,114377,805124,382791,266362,43325,73103,138128,21614,116513,747161,357509,389652,91059,225054,22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2007,tooele,45,,53821,8.3000002,4.8499999,3.8,7.8899999,65.800003,-2.52,51.900002,1.33,38,-3.0999999,-3.0999999,5959,1192,20.99,14.07,1564031,1218792,4335,4249,5413,166339,275119,242027,33092,11112,81875,84528,45895,183806,16803,167003,233157,51601,8716,172840,44272,706,43566,33115,6894,26221,44021,345238,23,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2017,tooele,45,,67490,5.1999998,4.3000002,5.1799998,10.31,64.800003,-1.51,51.799999,-1.41,38.799999,-1.51,-1.51,5839,1060,15.11,29.1,1737605,1371367,2378,38296,14175,116922,247812,187649,60163,17930,100137,130068,21888,264203,19872,244332,204439,80664,10437,148664,92629,10888,81740,53652,12396,41257,66835,366238,23,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2022,tooele,45,,79934,9.1499996,7.0999999,5.4299998,8.5299997,65.300003,-.60000002,51.599998,1.3,38,-1.87,.88999999,6011,1179,7.23,24.41,2766366,2249411,7168,34627,23562,158275,541550,432357,104331,22564,129793,96141,36466,329775,26791,315160,530195,114932,10951,344250,120697,11290,118477,71955,16034,51763,77827,490708,23,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2002,uintah,47,,26395,4.6500001,3.3,3.25,8.3000002,59.400002,-2.4100001,45.900002,-1.04,32.299999,-3.6199999,-3.6199999,7542,609,6.6199999,7.8000002,835709,710318,2348,213624,79046,28323,8784,5537,3247,30483,52898,32012,9605,136184,20770,115415,40539,13730,8180,7417,22189,1261,20928,13644,1418,12226,40639,125391,24,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2007,uintah,47,,29920,8.3000002,4.8499999,3.8,10.13,60.599998,-.77999997,46.900002,2.4200001,33.299999,-1.84,.81,7230,656,9.4700003,13.06,2328712,2168646,10777,1202519,84270,102659,15853,12334,3519,75884,81691,92243,16270,310519,25285,285234,33186,27756,8582,8593,35210,1145,34065,26908,879,26029,50177,160066,24,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2007,wasatch,51,,21413,8.3000002,4.8499999,3.8,20.219999,54.900002,-1.95,42.400002,.33000001,29.799999,-2.1500001,.11,8355,128,11.9,10.47,556572,475950,1856,23401,2479,83323,15002,12909,2093,17136,31421,11509,18070,112952,20481,92471,45388,25831,9732,9825,24024,1179,22846,65635,2895,62740,21247,80622,26,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2017,wasatch,51,,32045,5.1999998,4.3000002,5.1799998,26.629999,55.099998,-3.04,43.200001,-2.6700001,31.200001,-3.04,-3.04,8061,112,38.189999,13.78,966484,841349,4064,3134,6641,233814,30686,17971,12715,21090,73002,13754,23434,184956,16151,168805,87161,51818,6988,28355,60702,7687,53014,58438,10798,47640,40473,125135,26,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2002,washington,53,,99274,4.6500001,3.3,3.25,6.0900002,69.599998,-4.48,56.799999,-1.11,44,-4.77,-4.77,4399,1454,7.8499999,6.5799999,2132802,1880051,6226,8413,4400,203651,116297,86650,29648,56455,271929,137944,59576,466346,97772,368574,128061,65965,21021,41076,188443,5718,182725,132076,18579,113497,100233,252751,27,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2017,washington,53,,166195,5.1999998,4.3000002,5.1799998,13.78,70.300003,-2.1300001,57.700001,-2.48,45.200001,-2.1300001,-2.1300001,3956,1335,7.7399998,7.7199998,6040338,5423669,4794,56837,25117,681564,304773,232804,71969,213429,524994,313679,199905,1408264,197798,1210466,416661,245803,19188,130162,712447,31973,680475,359783,59835,299947,221115,616669,27,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2007,wayne,55,,2648,8.3000002,4.8499999,3.8,8.4799995,65.599998,.76999998,52.599998,2.3199999,39.5,.76999998,.76999998,5530,1017,16.23,14.97,74643,58219,6760,0,1714,5486,760,617,143,780,3691,1144,192,17261,348,9730,478,155,0,323,11577,29,3447,5596,275,5321,1887,16423,28,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
