,,"2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"All industry total","1","154,094","160,879","171,666","166,680","188,421","229,384","227,362","221,160","214,089","223,543","240,298","252,397","262,336","285,323","291,735","311,919","336,294","360,445","370,703","399,738","482,127"
"        Private industries","2","120,887","127,686","137,014","132,071","150,433","189,310","185,147","177,636","169,547","177,765","193,262","204,259","214,582","236,499","242,109","260,503","282,569","308,393","317,213","341,680","420,180"
"                Agriculture, forestry, fishing and hunting","3","1,338","S","S","S","12,147","S","S","2,193","S","S","S","S","S","S","S","S","S","3,820","4,526","8,990","17,534"
"                Mining, quarrying, and oil and gas extraction","6","0","323","105","0","0","0","1,850","750","1,781","1,879","3,850","15,002","21,483","19,544","15,153","29,005","31,555","23,621","13,349","26,914","S"
"                Utilities","10","774","880","1,030","S","1,384","1,616","1,576","2,316","2,338","S","3,104","2,879","3,486","4,142","4,779","S","S","8,704","11,886","16,573","17,346"
"                Construction","11","S","7,431","S","5,053","6,933","12,150","21,611","11,497","6,124","8,587","10,521","7,766","6,869","S","9,277","S","12,686","21,453","17,599","21,423","32,730"
"                Manufacturing","12","S","S","9,834","10,032","11,289","10,885","S","8,125","7,704","S","S","S","S","9,783","9,541","9,966","11,005","9,325","9,617","10,703","17,648"
"                        Durable goods manufacturing","13","S","S","S","S","S","S","S","S","S","S","S","S","S","9,322","8,867","S","S","S","S","S","14,689"
"                        Nondurable goods manufacturing","25","S","S","S","S","S","S","S","S","S","113","122","202","348","461","674","S","S","S","S","S","2,959"
"                Wholesale trade","34","2,219","2,175","1,471","S","1,936","1,970","1,929","1,756","1,504","S","S","2,163","2,137","2,245","2,169","S","S","S","S","S","2,380"
"                Retail trade","35","10,541","10,566","12,910","16,054","15,304","16,180","15,091","13,634","12,802","12,352","12,537","12,578","13,675","15,009","16,102","17,591","17,703","18,068","18,714","19,398","22,271"
"                Transportation and warehousing","36","S","S","S","2,987","S","S","S","S","S","3,256","S","S","S","S","S","5,574","5,101","4,662","S","S","S"
"                Information","45","S","S","S","998","S","2,226","1,724","2,158","1,770","1,856","S","2,749","3,008","2,817","2,270","2,401","2,208","3,522","3,566","3,802","4,408"
"                Finance, insurance, real estate, rental, and leasing","50","34,466","37,371","39,748","40,139","49,329","54,286","61,010","61,328","59,904","64,210","68,253","63,833","61,716","58,362","59,700","62,907","63,611","71,123","75,628","83,894","92,315"
"                        Finance and insurance","51","4,358","5,455","6,209","7,439","7,821","8,409","7,873","6,593","4,985","5,010","5,413","5,904","5,931","6,341","6,640","7,296","7,289","7,890","7,986","8,354","9,068"
"                        Real estate and rental and leasing","56","30,108","31,917","33,538","32,700","41,508","45,877","53,137","54,735","54,919","59,200","62,840","57,929","55,786","52,021","53,060","55,611","56,322","63,233","67,642","75,540","83,247"
"                Professional and business services","59","S","S","S","1,889","2,163","3,205","4,466","3,596","3,729","4,639","5,157","5,718","6,605","18,883","18,617","20,549","21,922","S","20,974","18,774","21,048"
"                        Professional, scientific, and technical services","60","S","S","S","1,236","1,424","2,357","3,835","2,882","2,924","3,655","3,539","3,658","4,386","4,232","5,121","5,159","5,104","5,873","S","S","9,249"
"                        Management of companies and enterprises","64","9,982","9,993","8,780","0","0","0","0","0","0","0","0","0","0","12,052","10,577","12,147","12,852","S","S","S","5,839"
"                        Administrative and support and waste management and remediation services","65","356","409","459","653","739","848","631","714","806","984","1,618","2,061","2,219","2,598","2,919","3,242","3,966","S","4,546","4,961","5,960"
"                Educational services, health care, and social assistance","68","1,577","1,720","1,695","1,875","S","S","S","S","S","6,516","5,523","4,168","4,978","5,066","5,336","5,725","6,399","7,074","6,909","8,649","8,507"
"                        Educational services","69","18","21","62","333","677","S","S","S","S","S","S","181","224","196","237","185","188","181","250","263","276"
"                        Health care and social assistance","70","1,559","1,699","1,633","1,542","S","S","S","S","S","S","S","3,987","4,754","4,870","5,099","5,540","6,211","6,893","6,659","8,386","8,231"
"                Arts, entertainment, recreation, accommodation, and food services","75","28,865","28,620","28,705","25,372","26,302","29,741","32,673","35,541","32,995","36,472","40,558","48,107","49,439","52,029","58,033","59,157","67,317","78,036","85,271","69,440","100,382"
"                        Arts, entertainment, and recreation","76","14,934","S","13,446","12,078","11,447","12,759","S","6,418","5,601","5,030","4,509","4,435","3,633","4,076","4,940","5,356","6,761","7,094","7,325","7,823","16,378"
"                        Accommodation and food services","79","13,931","S","15,259","13,294","14,856","16,982","S","29,123","27,394","31,442","36,049","43,672","45,807","47,953","53,093","53,801","60,556","70,942","77,946","61,617","84,004"
"                Other services (except government and government enterprises)","82","11,543","12,889","14,594","16,433","16,826","19,718","22,843","26,309","25,670","24,802","25,506","25,131","25,284","27,270","28,961","29,944","34,041","36,918","43,513","47,573","56,250"
"Government and government enterprises","83","33,208","33,193","34,653","34,608","37,988","40,074","42,216","43,524","44,542","45,778","47,036","48,137","47,754","48,824","49,626","51,416","53,725","52,052","53,490","58,058","61,947"


