,,"2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"All industry total","1","66,808","63,571","64,677","64,070","68,869","66,403","74,643","78,437","75,909","77,842","78,036","66,142","83,652","87,832","92,872","90,936","97,503","110,977","117,898","119,158","131,858"
"        Private industries","2","52,811","49,724","50,394","48,902","53,578","50,318","58,219","60,664","57,614","58,841","58,780","47,662","65,568","69,029","73,677","71,543","77,716","91,251","97,222","97,275","109,386"
"                Agriculture, forestry, fishing and hunting","3","11,497","S","S","7,618","8,894","3,485","6,760","2,711","2,366","865","1,935","686","S","12,379","12,396","7,931","7,150","S","10,838","12,562","14,712"
"                Mining, quarrying, and oil and gas extraction","6","0","0","0","0","0","0","0","0","1,663","2,809","1,886","2,238","3,926","6,598","10,568","9,002","10,768","345","3,505","3,156","S"
"                Utilities","10","607","744","858","1,403","1,458","1,657","1,714","1,979","1,952","1,971","2,129","1,964","2,175","1,942","1,799","1,856","1,635","1,600","1,768","1,890","1,958"
"                Construction","11","3,117","2,984","3,122","3,360","4,599","5,527","5,486","7,825","4,833","3,714","3,773","3,840","5,486","7,277","7,938","9,039","11,502","13,767","14,089","17,732","17,307"
"                Manufacturing","12","2,701","S","S","949","683","778","760","1,223","1,670","2,066","2,485","1,311","S","1,334","1,073","679","437","S","356","739","S"
"                        Durable goods manufacturing","13","S","S","S","371","332","531","617","887","1,190","1,622","2,458","1,221","S","970","750","426","S","323","S","S","299"
"                        Nondurable goods manufacturing","25","S","S","S","578","351","246","143","336","480","444","27","90","20","365","323","253","S","S","S","S","S"
"                Wholesale trade","34","S","S","S","S","S","S","S","778","962","965","927","730","S","S","S","S","S","S","1,605","1,477","S"
"                Retail trade","35","3,598","3,671","4,591","6,158","5,236","4,094","3,691","3,282","3,402","3,192","3,016","3,132","3,433","3,634","3,933","4,689","5,025","5,467","5,967","6,095","7,635"
"                Transportation and warehousing","36","S","S","3,172","1,570","S","S","S","S","S","S","S","S","S","S","S","1,258","1,061","1,053","S","S","1,307"
"                Information","45","141","168","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S"
"                Finance, insurance, real estate, rental, and leasing","50","10,547","11,350","11,555","11,463","13,825","14,814","17,261","18,139","18,086","19,871","19,909","14,743","14,720","S","13,940","14,692","15,258","17,334","S","19,505","21,513"
"                        Finance and insurance","51","S","S","S","S","S","S","S","S","S","S","S","S","S","S","455","S","S","S","S","S","S"
"                        Real estate and rental and leasing","56","S","S","S","S","S","S","S","S","S","S","S","S","S","13,309","13,485","S","S","S","17,506","S","S"
"                Professional and business services","59","S","380","309","263","325","399","478","512","747","1,173","936","1,251","1,319","1,790","S","1,740","2,073","S","13,564","9,592","10,260"
"                        Professional, scientific, and technical services","60","S","S","S","S","S","S","155","S","S","S","S","1,064","1,123","S","1,120","1,544","1,946","3,523","S","S","S"
"                        Management of companies and enterprises","64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10,249","9,810","5,933","6,171"
"                        Administrative and support and waste management and remediation services","65","264","S","S","S","S","S","323","S","S","S","S","187","196","S","S","196","127","S","S","S","S"
"                Educational services, health care, and social assistance","68","9,339","S","8,244","9,095","11,003","11,498","11,577","11,803","10,332","9,715","7,560","3,499","4,112","4,494","4,073","5,132","5,937","6,448","6,794","7,627","7,807"
"                        Educational services","69","S","136","106","S","S","S","S","S","S","S","S","S","S","S","182","158","92","45","11","38","49"
"                        Health care and social assistance","70","S","S","8,138","S","S","S","S","S","S","S","S","S","S","S","3,891","4,974","5,845","6,403","6,783","7,589","7,758"
"                Arts, entertainment, recreation, accommodation, and food services","75","4,712","5,031","4,571","4,133","4,136","4,865","5,596","6,743","6,725","8,427","9,787","10,442","10,938","10,209","10,703","11,118","12,335","14,289","15,842","12,056","17,606"
"                        Arts, entertainment, and recreation","76","S","S","S","S","109","219","275","384","745","811","913","369","418","644","761","1,127","1,536","1,400","1,227","1,095","1,332"
"                        Accommodation and food services","79","S","S","S","S","4,028","4,646","5,321","6,359","5,980","7,616","8,874","10,072","10,520","9,566","9,942","9,990","10,799","12,889","14,615","10,960","16,274"
"                Other services (except government and government enterprises)","82","1,926","1,992","2,024","2,111","2,040","1,905","1,887","2,221","2,297","2,213","2,395","2,397","2,433","2,485","2,427","2,512","2,555","2,560","2,497","3,061","3,257"
"Government and government enterprises","83","13,996","13,846","14,282","15,167","15,291","16,085","16,423","17,773","18,295","19,000","19,256","18,480","18,085","18,803","19,195","19,393","19,787","19,727","20,676","21,882","22,472"


